URL,ID,Website,Images_IA
https://www.prlib.ru/item/416695,IstoricheskoepohvalnoeslovoDimitrijuDon81,353,353
https://www.prlib.ru/item/335118,IstoricheskoepohvalnoeslovoKaramzinupr74,74,74
https://www.prlib.ru/item/416697,IstoricheskoerazvitiesudoustrojstvavRoss40,357,357
https://www.prlib.ru/item/335071,IstoricheskoeznachenietsarstvovanijaAlek83,266,266
https://www.prlib.ru/item/416596,IstoricheskogeograficheskoeopisaniePerm55,220,220
https://www.prlib.ru/item/416776,IstorijaDonskogovojskaopisanieDonskojze2,323,323
https://www.prlib.ru/item/416775,IstorijaDonskogovojskaopisanieDonskojze92,364,364
https://www.prlib.ru/item/416754,IstorijaGosudarstvaRossijskagoT1064,460,460
https://www.prlib.ru/item/416755,IstorijaGosudarstvaRossijskagoT1188,477,477
https://www.prlib.ru/item/416756,IstorijaGosudarstvaRossijskagoT1295,,583
https://www.prlib.ru/item/416767,IstorijaGosudarstvaRossijskagoT156,548,548
https://www.prlib.ru/item/416759,IstorijaGosudarstvaRossijskagoT195,512,512
https://www.prlib.ru/item/416768,IstorijaGosudarstvaRossijskagoT244,526,526
https://www.prlib.ru/item/416760,IstorijaGosudarstvaRossijskagoT256,,579
https://www.prlib.ru/item/416769,IstorijaGosudarstvaRossijskagoT313,484,484
https://www.prlib.ru/item/416761,IstorijaGosudarstvaRossijskagoT356,510,510
https://www.prlib.ru/item/416770,IstorijaGosudarstvaRossijskagoT429,498,498
https://www.prlib.ru/item/416762,IstorijaGosudarstvaRossijskagoT480,556,556
https://www.prlib.ru/item/416771,IstorijaGosudarstvaRossijskagoT523,592,592
https://www.prlib.ru/item/416763,IstorijaGosudarstvaRossijskagoT585,699,699
https://www.prlib.ru/item/416764,IstorijaGosudarstvaRossijskagoT610,543,543
https://www.prlib.ru/item/416772,IstorijaGosudarstvaRossijskagoT623,488,488
https://www.prlib.ru/item/416765,IstorijaGosudarstvaRossijskagoT796,358,358
https://www.prlib.ru/item/416773,IstorijaGosudarstvaRossijskagoT830,410,410
https://www.prlib.ru/item/416766,IstorijaGosudarstvaRossijskagoT869,487,487
https://www.prlib.ru/item/416757,IstorijaGosudarstvaRossijskagoT980,,770
https://www.prlib.ru/item/713367,IstorijaGruzinskojierarhiisprisovokuple87,90,90
https://www.prlib.ru/item/416789,IstorijaImperatorskagoVolnagoekonomiche44,690,690
https://www.prlib.ru/item/416799,IstorijaImperatorskojRossijskojgvardiiC89,76,76
https://www.prlib.ru/item/335198,IstorijaKrymskojvojnyioboronySevastopolj29,540,540
https://www.prlib.ru/item/335197,IstorijaKrymskojvojnyioboronySevastopolj89,472,472
https://www.prlib.ru/item/958691,IstorijaLejbgvardiiulanskogopolkaCh312,130,130
https://www.prlib.ru/item/467914,IstorijaMalojRossiiCh3OtizbranijaMaze29,347,347
https://www.prlib.ru/item/416828,IstorijaMoskovskojslavjanogrekolatinsk34,436,436
https://www.prlib.ru/item/1561085,IstorijaNapoleonaT10,470,470
https://www.prlib.ru/item/1561090,IstorijaNapoleonaT239,456,456
https://www.prlib.ru/item/1563036,IstorijaNapoleonaT311,466,466
https://www.prlib.ru/item/1568037,IstorijaNapoleonaT437,488,488
