year,title,link,DONE
1804,Правила для Педагогическаго института. : [Утв. 16 апр. 1804 г.],https://www.prlib.ru/item/713548,0
1804,"Ночи, или Беседы мудраго с другом",https://www.prlib.ru/item/1708917,0
1804,"Mahlerische Darstellungen der Sitten, Gebräuche und Lustbarkeiten bey den Russischen, Tatarischen, Mongolischen und andern Völkern des Russischen Reichs. Heft 3. Nebst einer kurzen Erläuterung derselben von J. Richter, Russ. Kaiserl. Rath und Fürstl. Sächs. Hofrath",https://www.prlib.ru/item/1346693,0
1804,"Портрет Александра Перваго, изображенный в письме одного немецкаго автора к его приятелю",https://www.prlib.ru/item/438134,0
1804,"Прибавление к сочинению, называемому ""Разсуждение о старом и новом слоге российскаго языка"", или Собрание критик, изданных на сию книгу, с примечаниями на оныя",https://www.prlib.ru/item/360728,0
1804,Указатель дорог Российской империи. Ч. 3,https://www.prlib.ru/item/459677,1
1804,"Географический словарь Российскаго государства,. Ч.3: К-М",https://www.prlib.ru/item/406197,0
1804,"Новый памятник, или Словарь из Уложения царя Алексея Михайловича",https://www.prlib.ru/item/1919108,0
1804,Описание Колы и Астрахани,https://www.prlib.ru/item/355083,0
1805,"Доклад Комитета для образования флота учрежденнаго, о переменах в управлении Морскаго департамента.",https://www.prlib.ru/item/714291,0
1805,Дневныя записки путешествия доктора и Академии наук адъюнкта Ивана Лепехина по разным провинциям Российскаго государства.... Ч.4. ... в 1772 году,https://www.prlib.ru/item/407622,0
1805,"Дорожной календарь, или Указатель главных дорог империи Российской.",https://www.prlib.ru/item/408061,0
1805,Ежедневные наблюдения. Месячные и годовые выводы. 1805. Январь-декабрь. Метеорологические наблюдения учиненные при Императорской Санкт-Петербургской Академии наук,https://www.prlib.ru/item/887758,0
1805,"Протолкование и соглашение двух текстов: Испытайте писания, яко вы мните в них имети живот вечный; - и Блажени невидевшии и веровавше",https://www.prlib.ru/item/713441,0
1805,"Жизнь, свойства, военныя и политическия деяния 1) российскаго императора Павла I, 2) генерал-фельдмаршала, князя Потемкина-Таврическаго, и 3) канцлера князя Безбородки.",https://www.prlib.ru/item/408467,0
