Год издания,title,url,Availability,Библиографическое описание,Тип издания,Коллекции,Автор,Заглавие,Number_of_Images,Images
,Абсолютное количество крупного рогатого скота в Европейской России,http://elib.shpl.ru/ru/nodes/81338-absolyutnoe-kolichestvo-krupnogo-rogatogo-skota-v-evropeyskoy-rossii,1,,карта,,,,1,4891296
,Абсолютное количество площадей в Европейской России,http://elib.shpl.ru/ru/nodes/81340-absolyutnoe-kolichestvo-ploschadey-v-evropeyskoy-rossii,1,,карта,,,,1,4891298
,Австрийская атака против барража,http://elib.shpl.ru/ru/nodes/90019-avstriyskaya-ataka-protiv-barrazha,1,,карта,,,,1,5292901
,Австрия,http://elib.shpl.ru/ru/nodes/12472-avstriya,1,,карта,,,,1,1337143
,Австро-Венгерское наступление в Италии в 1918 г.,http://elib.shpl.ru/ru/nodes/58312-avstro-vengerskoe-nastuplenie-v-italii-v-1918-g,1,,карта,,,,1,3844846
,Австро-Венгрия ; Германская империя ; Балканский полуостров,http://elib.shpl.ru/ru/nodes/58629-avstro-vengriya-germanskaya-imperiya-balkanskiy-poluostrov,1,,карта,,,,1,3856480
,Административная карта Европейской России,http://elib.shpl.ru/ru/nodes/72252-administrativnaya-karta-evropeyskoy-rossii,1,,карта,,,,1,4470513
,Административная карта СССР (Азиатская часть),http://elib.shpl.ru/ru/nodes/89009-administrativnaya-karta-sssr-aziatskaya-chast,1,,карта,,,,1,5249002
,Азиатская часть бывшей Российской Империи,http://elib.shpl.ru/ru/nodes/90070-aziatskaya-chast-byvshey-rossiyskoy-imperii,1,,карта,,,,1,5297754
,Азов и его окрестности в конце XVII века,http://elib.shpl.ru/ru/nodes/75712-azov-i-ego-okrestnosti-v-kontse-xvii-veka,1,,карта,,,,1,4623300
,Алатырь Симбирской губернии,http://elib.shpl.ru/ru/nodes/787-alatyr-simbirskoy-gubernii,1,,карта,,,,1,215619
,Александров Владимирского Наместничества,http://elib.shpl.ru/ru/nodes/266-aleksandrov-vladimirskogo-namestnichestva,1,,карта,,,,1,92124
,Александровск Екатеринославской губернии,http://elib.shpl.ru/ru/nodes/1054-aleksandrovsk-ekaterinoslavskoy-gubernii,1,,карта,,,,1,231154
,Алексин Тульского Наместничества,http://elib.shpl.ru/ru/nodes/911-aleksin-tulskogo-namestnichestva,1,,карта,,,,1,221344
