title,url
Боевой путь конной армии Буденного с 1918 по 1922 гг.,http://elib.shpl.ru/ru/nodes/77343-boevoy-put-konnoy-armii-budennogo-s-1918-po-1922-gg
Боевой путь Щорса,http://elib.shpl.ru/ru/nodes/59929-boevoy-put-schorsa
"Боевой путь, пройденный 9-й Чапаевской дивизией за время 1918-1920 года",http://elib.shpl.ru/ru/nodes/83077-boevoy-put-proydennyy-9-y-chapaevskoy-diviziey-za-vremya-1918-1920-goda
Боевые действия 11 армии с 22 мая (4 июня) по 3 (16) июля 1916 г.,http://elib.shpl.ru/ru/nodes/63266-boevye-deystviya-11-armii-s-22-maya-4-iyunya-po-3-16-iyulya-1916-g
Боевые действия 11-й армии с 20 июня (3 июля) по 28 июня (11 июля),http://elib.shpl.ru/ru/nodes/82202-boevye-deystviya-11-y-armii-s-20-iyunya-3-iyulya-po-28-iyunya-11-iyulya
Боевые действия 11-й армии с 22 мая (4 апреля) по 1 июня (14 июня),http://elib.shpl.ru/ru/nodes/82112-boevye-deystviya-11-y-armii-s-22-maya-4-aprelya-po-1-iyunya-14-iyunya
Боевые действия 11-й армии с 31 мая (13 апреля) по 3 июня (16 июня),http://elib.shpl.ru/ru/nodes/82126-boevye-deystviya-11-y-armii-s-31-maya-13-aprelya-po-3-iyunya-16-iyunya
Боевые действия 3-й и 8-й армий с 20 июня (3 июля) по 28 июня (11 июля),http://elib.shpl.ru/ru/nodes/82201-boevye-deystviya-3-y-i-8-y-armiy-s-20-iyunya-3-iyulya-po-28-iyunya-11-iyulya
Боевые действия 4 разведывательной группы в районе Готланда,http://elib.shpl.ru/ru/nodes/73821-boevye-deystviya-4-razvedyvatelnoy-gruppy-v-rayone-gotlanda
Боевые действия 7 армии с 22 мая (4 июня) по 15 (28) июля 1916 г.,http://elib.shpl.ru/ru/nodes/63267-boevye-deystviya-7-armii-s-22-maya-4-iyunya-po-15-28-iyulya-1916-g
Боевые действия 7-й армии с 20 июня (3 июля) по 29 июня (12 июля),http://elib.shpl.ru/ru/nodes/82203-boevye-deystviya-7-y-armii-s-20-iyunya-3-iyulya-po-29-iyunya-12-iyulya
Боевые действия 7-й армии с 22 мая (4 апреля) по 28 мая (10 июня),http://elib.shpl.ru/ru/nodes/82113-boevye-deystviya-7-y-armii-s-22-maya-4-aprelya-po-28-maya-10-iyunya
Боевые действия 8 армии с 22 мая (4 июня) по 2 (15) июня 1916 г.,http://elib.shpl.ru/ru/nodes/63252-boevye-deystviya-8-armii-s-22-maya-4-iyunya-po-2-15-iyunya-1916-g
Боевые действия 8-й армии с 22 мая (4 апреля) по 25 мая (7 апреля),http://elib.shpl.ru/ru/nodes/82111-boevye-deystviya-8-y-armii-s-22-maya-4-aprelya-po-25-maya-7-aprelya
Боевые действия 8-й армии с 25 мая (7 апреля) по 3 июня (16 июня),http://elib.shpl.ru/ru/nodes/82125-boevye-deystviya-8-y-armii-s-25-maya-7-aprelya-po-3-iyunya-16-iyunya
Боевые действия 9-й армии с 20 июня (3 июля) по 29 июня (12 июля),http://elib.shpl.ru/ru/nodes/82204-boevye-deystviya-9-y-armii-s-20-iyunya-3-iyulya-po-29-iyunya-12-iyulya
Боевые действия 9-й армии с 22 мая (4 апреля) по 17 июня (30 июня),http://elib.shpl.ru/ru/nodes/82124-boevye-deystviya-9-y-armii-s-22-maya-4-aprelya-po-17-iyunya-30-iyunya
Боевые действия в Дании и Швеции,http://elib.shpl.ru/ru/nodes/73829-boevye-deystviya-v-danii-i-shvetsii
Боевые действия в Рижском заливе,http://elib.shpl.ru/ru/nodes/73827-boevye-deystviya-v-rizhskom-zalive
Бои 1 конной армии 1 июня и положение обеих сторон к 3 июня 1920 г.,http://elib.shpl.ru/ru/nodes/74237-boi-1-konnoy-armii-1-iyunya-i-polozhenie-obeih-storon-k-3-iyunya-1920-g
Бои 6 и 11 кавалерийских дивизий 31 мая 1920 г.,http://elib.shpl.ru/ru/nodes/74235-boi-6-i-11-kavaleriyskih-diviziy-31-maya-1920-g
Бои в Восточной Галиции летом 1917 г.,http://elib.shpl.ru/ru/nodes/58063-boi-v-vostochnoy-galitsii-letom-1917-g
Бои в выступе у Сен Миэль 1918 г.,http://elib.shpl.ru/ru/nodes/58328-boi-v-vystupe-u-sen-miel-1918-g
Бои в Добрудже осенью 1916 г.,http://elib.shpl.ru/ru/nodes/57718-boi-v-dobrudzhe-osenyu-1916-g
Бои в Македонии осенью 1916 г.,http://elib.shpl.ru/ru/nodes/57720-boi-v-makedonii-osenyu-1916-g
Бои за Гдов 13-15.05.1919,http://elib.shpl.ru/ru/nodes/63887-boi-za-gdov-13-15-05-1919
Бои за Царицын,http://elib.shpl.ru/ru/nodes/82507-boi-za-tsaritsyn
Бои за Ямбург 8-14.11.1919,http://elib.shpl.ru/ru/nodes/64699-boi-za-yamburg-8-14-11-1919
Бои на реке Иква 11-16 июля 1920 г.,http://elib.shpl.ru/ru/nodes/58602-boi-na-reke-ikva-11-16-iyulya-1920-g
Бои на реке Иква 17-22 июля 1920 г.,http://elib.shpl.ru/ru/nodes/58603-boi-na-reke-ikva-17-22-iyulya-1920-g
Бои под Верденом в августе 1917 г.,http://elib.shpl.ru/ru/nodes/58065-boi-pod-verdenom-v-avguste-1917-g
Бои под Верденом осенью 1916 г.,http://elib.shpl.ru/ru/nodes/57719-boi-pod-verdenom-osenyu-1916-g
Бои под Липягами,http://elib.shpl.ru/ru/nodes/74582-boi-pod-lipyagami
Бои у озера Нароч в марте 1916,http://elib.shpl.ru/ru/nodes/57695-boi-u-ozera-naroch-v-marte-1916
Бой 14 января 1905 г.,http://elib.shpl.ru/ru/nodes/83387-boy-14-yanvarya-1905-g
Бой 14 января 1905 года. Положение колонн до ранения Г. А. Мищенко. Расположение японцев,http://elib.shpl.ru/ru/nodes/83386-boy-14-yanvarya-1905-goda-polozhenie-kolonn-do-raneniya-g-a-mischenko-raspolozhenie-yapontsev
Бой 15 января 1905 года у д. Сюэппу,http://elib.shpl.ru/ru/nodes/83389-boy-15-yanvarya-1905-goda-u-d-syueppu
Бой 28 декабря 1904 г. у Калихэ и Сандакана,http://elib.shpl.ru/ru/nodes/60419-boy-28-dekabrya-1904-g-u-kalihe-i-sandakana
Бой береговой группы с мятежниками 15 июня 1919 г.,http://elib.shpl.ru/ru/nodes/63978-boy-beregovoy-gruppy-s-myatezhnikami-15-iyunya-1919-g
Бой Бреслау с русским флотом 2 июля 1916 г.,http://elib.shpl.ru/ru/nodes/81572-boy-breslau-s-russkim-flotom-2-iyulya-1916-g
Бой в долине Кленталь,http://elib.shpl.ru/ru/nodes/12406-boy-v-doline-klental
Бой в долине Муттен,http://elib.shpl.ru/ru/nodes/12407-boy-v-doline-mutten
Бой в районе с. Галков и станции Колюшки 23 ноября 1914 г.,http://elib.shpl.ru/ru/nodes/64715-boy-v-rayone-s-galkov-i-stantsii-kolyushki-23-noyabrya-1914-g
Бой за Волосовский железнодорожный узел 4-7.11.1919,http://elib.shpl.ru/ru/nodes/64698-boy-za-volosovskiy-zheleznodorozhnyy-uzel-4-7-11-1919
Бой за г. Лугу 31.10.1919,http://elib.shpl.ru/ru/nodes/64683-boy-za-g-lugu-31-10-1919
Бой за д. Высоцкое,http://elib.shpl.ru/ru/nodes/64681-boy-za-d-vysotskoe
Бой за ст. Александровская 23.10.1919,http://elib.shpl.ru/ru/nodes/64607-boy-za-st-aleksandrovskaya-23-10-1919
Бой за Шипкинский проход 5 июля - 28 декабря 1877 г.,http://elib.shpl.ru/ru/nodes/55564-boy-za-shipkinskiy-prohod-5-iyulya-28-dekabrya-1877-g
Бой за Шипкинский проход 5 июля - 28 декабря 1877 г. Разные этапы.,http://elib.shpl.ru/ru/nodes/55565-boy-za-shipkinskiy-prohod-5-iyulya-28-dekabrya-1877-g-raznye-etapy
Бой за Ямбург 3-5 августа 1919 г.,http://elib.shpl.ru/ru/nodes/64105-boy-za-yamburg-3-5-avgusta-1919-g
Бой и занятие Донельсона 15 февраля 1862 г.,http://elib.shpl.ru/ru/nodes/55601-boy-i-zanyatie-donelsona-15-fevralya-1862-g
Бой между Эмденом и Сидни 9 ноября 1914 г.,http://elib.shpl.ru/ru/nodes/55133-boy-mezhdu-emdenom-i-sidni-9-noyabrya-1914-g
"Бой между Эмденом и Сидни, 9 ноября 1914 г.",http://elib.shpl.ru/ru/nodes/55067-boy-mezhdu-emdenom-i-sidni-9-noyabrya-1914-g
