year,title,link
1871,Краткая география для начальных школ. Кн. 1. Общее обозрение частей света,https://www.prlib.ru/item/341332
1871,Кавказский календарь .... на 1872 год (високосный). 27-й год,https://www.prlib.ru/item/417263
1871,"Юридический вестник. Г. 3 1871, кн. 9, декабрь",https://www.prlib.ru/item/391872
1871,"Юридический вестник. Г. 3 1871, кн. 1 (апрель)",https://www.prlib.ru/item/391864
1871,Война за утверждение прусской гегемонии в Европе и отношение к ней России,https://www.prlib.ru/item/324797
1871,Сборник Императорского Русского исторического общества. Т. 8. [Исторические сведения о Екатерининской Комиссии для сочинения проекта Нового Уложения,https://www.prlib.ru/item/363591
1871,"Новое городовое положение, выс. утв. 16-го июня 1870 г., с приведением из Свода законов статей, на которые сделаны указания",https://www.prlib.ru/item/713284
1871,"О государственном земском сборе. О прусских податях, классной и подоходной, и о том, желательно ли и можно ли ввести их у нас?",https://www.prlib.ru/item/429726
1871,Сборник постановлений Галичского уездного земского собрания .... с 15 по 19 марта 1871 года,https://www.prlib.ru/item/442976
1871,Г. Р. Державин - правитель тамбовского наместничества,https://www.prlib.ru/item/811429
1871,Отчет Лукояновской уездной земской управы .... за 1870 год,https://www.prlib.ru/item/435419
1871,Семья и школа. [Г. 1]. 1871. [Т. 1]. № 10. Декабрь,https://www.prlib.ru/item/443976
1871,"Иркутские губернские ведомости. 1875, № 27",https://www.prlib.ru/item/413946
1871,Дела русского оружия и политики в Средней Азии,https://www.prlib.ru/item/407361
1871,"Описание Спасокаменного, что на Кубенском озере, монастыря, ныне Спасопреображенская Белавинская пустыня",https://www.prlib.ru/item/434787
1871,Семья и школа. [Г. 1]. 1871. № 1. Январь,https://www.prlib.ru/item/1051622
1871,"Иркутские губернские ведомости. 1871, № 22",https://www.prlib.ru/item/416185
1871,Журналы Олонецкого губернского земского собрания.... чрезвычайного... 24-26-го июня 1871 г.,https://www.prlib.ru/item/713887
1871,Постановления Прилукского уездного земского собрания .... VII очередного ... 1871 года,https://www.prlib.ru/item/438574
1871,"Журналы Московского губернского земского собрания .... экстренное собрание, сентябрь 1870 года",https://www.prlib.ru/item/409605
1871,"Вологодские губернские ведомости. 1871, № 35 [21 авг.]",https://www.prlib.ru/item/326603
1871,"Отчет о действиях и суммах Человеколюбивого общества.... ... за 1866 год, 1867, 1868 и 1869 гг.",https://www.prlib.ru/item/677952
