year,title,link,pages
1901,"Церковные ведомости, издаваемые при Святейшем правительствующем Синоде. Г. 14 1901, № 4 (27 января)",https://www.prlib.ru/item/461200,-1
1901,К преобразованию театрального дела в России,https://www.prlib.ru/item/417194,11
1901,Отчет Борисоглебской уездной земской управы .... за 1900 год,https://www.prlib.ru/item/435176,168
1901,Летопись занятий Археографической комиссии. Вып. 12. ... за 1895-1899 годы,https://www.prlib.ru/item/694558,634
1901,"Устав, состоящего под высоким покровительством Его Императорского Высочества Великого Князя Константина Константиновича, Комиссаровского технического училища в Москве",https://www.prlib.ru/item/460123,38
1901,Журналы Сапожковского уездного земского собрания .... 43-го чрезвычайного созыва 21 января 1901 года,https://www.prlib.ru/item/409947,20
1901,"Юридическая газета. 1901, № 67 (30 сентября)",https://www.prlib.ru/item/964998,-1
1901,"Вестник права. Г. 31 1901, № 3 (март)",https://www.prlib.ru/item/323922,-1
1901,Журналы Смоленского губернского земского собрания .... чрезвычайного... с 16 по 18 марта 1901 года,https://www.prlib.ru/item/410125,-1
1901,"Родина. Г. 23 1901, № 13 (25 марта)",https://www.prlib.ru/item/698410,-1
1901,Устав Общего офицерского собрания крепости Усть-Двинск,https://www.prlib.ru/item/459992,22
1901,Отчет о состоянии Нижегородского городского художественного и исторического музея.... ...за 1900 год. (Третий отчетный год),https://www.prlib.ru/item/898698,30
1901,"Вестник права. Г. 31 1901, № 4 / 5 (апр. - май)",https://www.prlib.ru/item/323926,-1
1901,Памяти царственной инокини Анастасии [в мире - великая княгиня Александра Петровна],https://www.prlib.ru/item/714167,62
1901,"Статистические данные относительно числа совершаемых в течение года в пределах Владимирской губернии преступлений, подсудных Судебной Палате, Окружному суду и уездным членам Окружного суда",https://www.prlib.ru/item/784961,30
1901,"Иркутские губернские ведомости. 1901, № 282 (29 дек.)",https://www.prlib.ru/item/414885,-1
1901,Доклады Владимирской губернской земской управы Очередному губернскому земскому собранию .... ... 1901 года,https://www.prlib.ru/item/331463,122
1901,Дневник зверского избиения Московских бояр в столице в 1682 году и избрания двух царей Петра и Иоанна,https://www.prlib.ru/item/407604,29
1901,Болгарская ересь богомилов,https://www.prlib.ru/item/399101,53
1901,"Родина. Г. 23 1901, № 14 (1 апреля)",https://www.prlib.ru/item/698412,-1
1901,Образование и литература в Московском государстве кон. XV-XVII вв.. Вып. 3,https://www.prlib.ru/item/433475,172
